Insert Time
Load Factor | Seperate Chaining | Linear Probing | Double Hashing
0.74 | 5500 | 2900 | 2500
0.75 | 5200 | 2600 | 2600
0.76 | 5000 | 2500 | 2800
0.77 | 6300 | 2500 | 2300
0.78 | 7000 | 2800 | 2600
0.79 | 11700 | 3200 | 2900
0.8 | 6400 | 2600 | 2400
0.81 | 6100 | 2700 | 2500
0.82 | 5600 | 2500 | 2300
0.83 | 5400 | 2500 | 2700
0.84 | 5300 | 2600 | 2500
0.85 | 5100 | 2900 | 2400
0.86 | 5200 | 2800 | 2300
0.87 | 6200 | 2600 | 2600
0.88 | 5200 | 3500 | 2600
0.89 | 5100 | 4000 | 2800
0.9 | 6200 | 3500 | 2600
0.91 | 7200 | 2600 | 2500
0.92 | 5300 | 3000 | 2400
0.93 | 5400 | 2700 | 3200
0.94 | 5300 | 3100 | 2500
0.95 | 5900 | 3900 | 2300
Search Time
Load Factor | Seperate Chaining | Linear Probing | Double Hashing
0 | 2500 | 2100 | 2000
0.01 | 5700 | 63500 | 92200
0.02 | 4900 | 3500 | 4000
0.03 | 4000 | 3400 | 3300
0.04 | 4000 | 3000 | 3200
0.05 | 4300 | 3800 | 3200
0.06 | 7300 | 3300 | 3400
0.07 | 3800 | 2900 | 3100
0.08 | 6700 | 3500 | 3000
0.09 | 3600 | 3200 | 3400
0.1 | 3900 | 3100 | 3100
0.11 | 4000 | 3400 | 3300
0.12 | 3700 | 3200 | 3200
0.13 | 3600 | 4200 | 3600
0.14 | 3800 | 3200 | 3100
0.15 | 4800 | 3300 | 3500
0.16 | 4000 | 3600 | 3000
0.17 | 3600 | 3900 | 3000
0.18 | 2500 | 2100 | 2100
0.19 | 2900 | 2000 | 2000
0.2 | 2500 | 2200 | 2200
0.21 | 2400 | 2200 | 2200
0.22 | 2500 | 2300 | 2300
0.23 | 2500 | 2300 | 2200
0.24 | 2400 | 2300 | 2200
0.25 | 2400 | 2200 | 2200
0.26 | 2400 | 2200 | 2200
0.27 | 2500 | 2300 | 2300
0.28 | 2500 | 2400 | 2400
0.29 | 2400 | 2300 | 2100
0.3 | 2400 | 2300 | 2100
0.31 | 2500 | 2200 | 2200
0.32 | 2400 | 2200 | 2200
0.33 | 2500 | 2300 | 2300
0.34 | 2400 | 2200 | 2300
0.35 | 2400 | 2200 | 2200
0.36 | 2400 | 2200 | 2200
0.37 | 2400 | 2100 | 2100
0.38 | 3300 | 3100 | 3100
0.39 | 2500 | 2200 | 2400
0.4 | 2500 | 2200 | 2200
0.41 | 2400 | 2300 | 2300
0.42 | 2300 | 2200 | 2200
0.43 | 2500 | 2300 | 2300
0.44 | 2600 | 2200 | 2100
0.45 | 2600 | 2300 | 2400
0.46 | 2600 | 2400 | 2400
0.47 | 2300 | 2300 | 2400
0.48 | 3900 | 3600 | 3400
0.49 | 3700 | 3100 | 3000
0.5 | 3500 | 3300 | 3400
0.51 | 3600 | 3200 | 3300
0.52 | 3500 | 3200 | 3400
0.53 | 3500 | 3300 | 3300
0.54 | 3500 | 3400 | 3500
0.55 | 4000 | 3500 | 3200
0.56 | 3900 | 3500 | 3400
0.57 | 2300 | 2200 | 2300
0.58 | 3700 | 3500 | 3300
0.59 | 2500 | 2400 | 2400
0.6 | 2400 | 2300 | 2200
0.61 | 2500 | 2200 | 2200
0.62 | 2500 | 2300 | 2400
0.63 | 2400 | 2200 | 2300
0.64 | 2400 | 2200 | 2200
0.65 | 2400 | 2200 | 2200
0.66 | 2300 | 2300 | 2200
0.67 | 4100 | 3100 | 3700
0.68 | 2500 | 2400 | 2300
0.69 | 2400 | 2100 | 2300
0.7 | 2600 | 2400 | 2600
0.71 | 2400 | 2300 | 2200
0.72 | 2600 | 2300 | 2100
0.73 | 2400 | 2300 | 2400
0.74 | 2500 | 2600 | 2300
0.75 | 2400 | 2400 | 2500
0.76 | 2500 | 2200 | 2600
0.77 | 2600 | 2300 | 2200
0.78 | 2400 | 2300 | 2300
0.79 | 2500 | 2500 | 2500
0.8 | 2400 | 2100 | 2200
0.81 | 2300 | 2400 | 2200
0.82 | 2400 | 2200 | 2200
0.83 | 2600 | 2200 | 2400
0.84 | 2600 | 2300 | 2300
0.85 | 2500 | 2500 | 2400
0.86 | 2400 | 2300 | 2300
0.87 | 2400 | 2400 | 2400
0.88 | 2700 | 3400 | 2600
0.89 | 2500 | 3800 | 2800
0.9 | 3600 | 4500 | 3400
0.91 | 2600 | 2300 | 2300
0.92 | 2700 | 2800 | 3300
0.93 | 2600 | 2700 | 3000
0.94 | 2800 | 2900 | 2500
0.95 | 2600 | 3800 | 2600
