Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0.363,2998,3100,3194
0.364,3734,3734,3966
0.365,4073,6613,4612
0.366,4114,4007,4181
0.367,4007,5063,5014
0.368,5143,4697,4959
0.369,5311,4628,4818
0.37,4239,4689,4580
0.371,4689,4201,5079
0.372,4360,4446,4456
0.373,3901,4069,4250
0.374,3811,4064,4202
0.375,2999,3103,3258
0.376,4681,4681,6334
0.377,3956,4607,4432
0.378,4227,4889,4249
0.379,3728,4042,4042
0.38,5416,5542,4743
0.381,3647,3802,4194
0.382,3169,3389,3467
0.383,2755,2941,3027
0.384,4255,4675,4537
0.385,4675,5358,4537
0.386,4225,4537,7474
0.387,7023,7023,5296
0.388,4390,5345,5296
0.389,6510,4390,4636
0.39,5664,5140,4481
0.391,4299,4390,4481
0.392,4971,5823,5731
0.393,5075,4435,4358
0.394,4214,4409,4486
0.395,4825,4666,8555
0.396,4666,5118,5236
0.397,6375,5495,6083
0.398,5042,4855,4893
0.399,8050,5038,5119
0.4,8034,4350,9621
0.401,3438,3822,3756
0.402,2766,3014,2986
0.403,4257,5354,4275
0.404,4275,9147,4430
0.405,3684,6897,4004
0.406,4207,4004,4527
0.407,4357,3682,3645
0.408,4006,4262,4652
0.409,4262,4917,4671
0.41,4490,4213,4527
0.411,3780,2761,2762
0.412,5878,4490,6297
0.413,4087,4635,4012
0.414,4338,4447,4521
0.415,3656,3745,4942
0.416,4236,4942,4777
0.417,4059,4181,5267
0.418,5480,5673,4389
0.419,5675,4466,4389
0.42,6052,4996,5210
0.421,3567,3698,3806
0.422,3593,3771,3778
0.423,6041,6988,3063
0.424,4326,4760,7224
0.425,2716,2768,3063
0.426,8069,4010,4109
0.427,1422,9451,8077
0.428,3946,4114,4440
0.429,4118,4215,4933
0.43,4188,4118,4169
0.431,9451,3744,8077
0.432,4412,4768,4754
0.433,4768,5375,5007
0.434,4349,4725,4451
0.435,4534,4914,4854
0.436,4748,5035,7373
0.437,6939,6825,7683
0.438,4549,4718,4777
0.439,6323,4594,4612
0.44,3727,4025,4267
0.441,3628,5199,3859
0.442,4256,4657,4629
0.443,4246,4732,4833
0.444,4437,4739,4587
0.445,5208,4646,4725
0.446,4138,4721,5917
0.447,3486,3720,3731
0.448,3653,4811,3998
0.449,3796,4105,4088
0.45,4842,4880,4767
0.451,4551,5072,4963
0.452,4474,4817,4906
0.453,5590,4655,4019
0.454,3816,3946,4249
0.455,4229,4343,4439
0.456,3501,3425,3468
0.457,3524,4347,5146
0.458,6439,4546,8551
0.459,6019,5678,6198
0.46,3530,3599,3788
0.461,3767,4003,4215
0.462,4559,4780,4938
0.463,5331,4878,6155
0.464,3212,5069,3374
0.465,3311,4799,3624
0.466,9953,3644,3772
0.467,6706,3972,4606
0.468,4441,5680,5063
0.469,3918,4872,4399
0.47,4472,6298,4957
0.471,4906,5225,5117
0.472,4382,4559,4835
0.473,3999,4803,7678
0.474,7373,4063,1168
0.475,3686,4029,10027
0.476,6152,5637,8063
0.477,2711,5806,1297
0.478,4132,1234,1963
0.479,9217,3978,3967
0.48,9410,8313,3933
0.481,3775,1410,4171
0.482,3805,8661,9114
0.483,3859,3755,9227
0.484,9739,4082,9934
0.485,2828,3905,4056
0.486,7700,9212,4028
0.487,2719,7216,1549
0.488,1018,7649,1989
0.489,4909,5090,5598
0.49,6785,5525,1178
0.491,4864,4915,7592
0.492,9319,3294,1464
0.493,4357,5465,1435
0.494,3898,3805,4163
0.495,4357,4897,4986
0.496,3877,6746,8162
0.497,4291,6543,1526
0.498,4087,7871,5035
0.499,3763,4106,4681
0.5,3320,3356,2339
0.501,4149,4295,4545
0.502,1513,8839,5153
0.503,8145,9212,1096
0.504,5385,2735,4569
0.505,7107,5197,5566
0.506,4710,5329,6380
0.507,4779,8988,8996
0.508,4621,5198,2893
0.509,4858,5348,5593
0.51,4658,4892,5182
0.511,4710,5048,5314
0.512,1377,1076,7051
0.513,3916,5087,7037
0.514,4313,2937,2795
0.515,3361,3997,3996
0.516,3982,3989,4188
0.517,3656,6636,4089
0.518,3283,3539,3546
0.519,3008,3151,3541
0.52,4086,4240,1045
0.521,3482,3002,5285
0.522,3595,3845,3934
0.523,3249,3532,3615
0.524,3977,3936,5290
0.525,3069,6879,3941
0.526,4176,4127,1419
0.527,4096,4383,4696
0.528,2939,3303,3217
0.529,2588,2716,2660
0.53,2767,5269,8142
0.531,3886,4041,9261
0.532,2626,2689,2798
0.533,2451,2577,2534
0.534,3028,3348,3243
0.535,3671,2852,6073
0.536,4075,4431,4357
0.537,4299,6370,7963
0.538,2599,2674,2765
0.539,2400,3116,2637
0.54,2572,2895,4288
0.541,3044,3189,7392
0.542,3056,3318,3397
0.543,2680,2781,2827
0.544,2293,2483,2434
0.545,2256,2397,2537
0.546,2510,2662,4844
0.547,3577,9671,3741
0.548,2897,2836,4963
0.549,2596,4925,2850
0.55,2763,2916,2979
0.551,2554,2731,2869
0.552,3348,9294,4166
0.553,3104,8448,4823
0.554,3960,4693,4283
0.555,3339,3592,3651
0.556,3856,4097,4238
0.557,5306,5237,5906
0.558,4763,4859,7655
0.559,3935,4159,4531
0.56,8246,5100,7316
0.561,3993,4429,4168
0.562,4477,4684,4549
0.563,4867,4398,5531
0.564,4342,4405,8352
0.565,4483,5398,4798
0.566,3674,3782,4220
0.567,3667,3603,4972
0.568,3541,5121,5053
0.569,3687,4046,4141
0.57,3653,3869,4631
0.571,3659,6826,3886
0.572,4655,4221,4713
0.573,4506,5441,4859
0.574,4308,8299,4503
0.575,4232,5494,4508
0.576,5470,6334,5490
0.577,4651,4881,5169
0.578,4129,7250,4015
0.579,3272,4087,3693
0.58,5919,4065,4290
0.581,3112,3281,3390
0.582,4215,4445,4604
0.583,4952,4450,4534
0.584,1136,4389,4547
0.585,3680,3949,4008
0.586,3400,3681,3650
0.587,3224,3467,5057
0.588,1090,4472,8374
0.589,3925,4157,4422
0.59,3098,3407,3353
0.591,3807,3932,5526
0.592,3949,4194,3874
0.593,4910,4647,4894
0.594,3873,4035,5072
0.595,3690,3862,4129
0.596,5158,4179,4191
0.597,4207,4202,4757
0.598,3994,4114,4252
0.599,3617,3921,3941
0.6,3953,5517,4405
0.601,4284,4114,4338
0.602,3851,4162,6610
0.603,4594,4855,4973
0.604,4559,4791,4987
0.605,4403,4688,4643
0.606,3656,4023,4025
0.607,4388,4629,4684
0.608,5653,4769,4591
0.609,3984,3995,4396
0.61,4379,4487,5195
0.611,3537,3688,4023
0.612,4633,5405,4930
0.613,4249,4554,4684
0.614,5908,4440,6462
0.615,4234,4603,4526
0.616,4930,5171,5014
0.617,4943,4727,4674
0.618,4482,9471,4748
0.619,4491,4881,5347
0.62,4104,3440,3499
0.621,8173,5101,4607
0.622,2543,5524,2648
0.623,3624,3315,3663
0.624,4133,7506,4076
0.625,6864,5938,4283
0.626,2313,3558,3615
0.627,2559,2579,2637
0.628,2410,2502,2548
0.629,2438,2606,2665
0.63,2516,3459,2663
0.631,2369,2593,2875
0.632,2502,2562,2777
0.633,3501,4021,3674
0.634,9231,9518,6492
0.635,4117,4172,6662
0.636,4709,4366,6360
0.637,4423,4556,4757
0.638,4647,4815,5038
0.639,5014,5197,5046
0.64,4674,5320,7439
0.641,4261,4148,4504
0.642,3441,4786,4035
0.643,4622,4886,5080
0.644,4494,4609,4954
0.645,4523,4643,4799
0.646,3796,5211,3996
0.647,4597,4538,4672
0.648,6282,5042,4989
0.649,4102,4357,4702
0.65,5286,4440,4531
0.651,4842,4510,4997
0.652,3882,3965,5310
0.653,3659,3826,4047
0.654,4304,3485,3533
0.655,3697,3823,4226
0.656,3394,3541,3674
0.657,3687,3664,3867
0.658,3647,5881,5594
0.659,4524,5406,4624
0.66,3596,3721,3748
0.661,2926,3110,3239
0.662,2853,3010,3076
0.663,3518,3740,3880
0.664,4021,4349,4436
0.665,2726,2895,3049
0.666,2840,2976,3122
0.667,2391,2539,2660
0.668,5511,4705,4000
0.669,4343,5038,4580
0.67,2880,3188,3141
0.671,2823,2957,3060
0.672,2783,2961,3073
0.673,4234,4252,5293
0.674,3996,4277,4507
0.675,2770,2950,3029
0.676,2855,3014,3128
0.677,5680,4631,4929
0.678,4159,4281,4447
0.679,3791,4019,4150
0.68,3741,4162,4184
0.681,3585,5496,3616
0.682,4923,2817,3181
0.683,2623,2730,2879
0.684,6654,3401,3480
0.685,4093,4539,4616
0.686,3892,3985,4853
0.687,3628,3812,3902
0.688,3527,3713,3802
0.689,2896,4213,3212
0.69,3383,3501,5526
0.691,3704,3647,3722
0.692,3091,3255,3352
0.693,3282,3400,3459
0.694,2640,2814,2934
0.695,3374,3645,5124
0.696,3870,4181,4216
0.697,3981,4848,4225
0.698,3155,3518,3548
0.699,5522,3779,5564
0.7,3804,3910,4003
0.701,3718,3879,4039
0.702,3707,3884,4078
0.703,3712,3956,5154
0.704,3851,4044,4269
0.705,3715,3907,4054
0.706,3810,4034,4143
0.707,3713,3921,4077
0.708,3822,5192,4166
0.709,3852,3941,4040
0.71,3682,3771,3965
0.711,3633,3871,4006
0.712,4197,4722,5676
0.713,4146,3951,3989
0.714,3684,3933,3961
0.715,3642,3821,4053
0.716,2755,5071,3015
0.717,2857,3107,3017
0.718,2251,2422,2445
0.719,2542,2673,2703
0.72,2328,2367,2437
0.721,2288,2355,2524
0.722,5903,3059,3119
0.723,2737,2829,2952
0.724,2404,2489,2591
0.725,2253,2416,2480
0.726,2811,3009,3031
0.727,3534,3705,3818
0.728,5276,3205,3263
0.729,6706,3571,3487
0.73,3973,3229,3847
0.731,2854,2914,3028
0.732,2407,2638,2682
0.733,3630,3870,4717
0.734,3947,4092,4188
0.735,3966,3916,4312
0.736,3702,3932,4162
0.737,3558,5169,3792
0.738,4034,4423,6262
0.739,3958,4045,4200
0.74,3932,4190,4245
0.741,3738,4201,5646
0.742,4397,4811,4727
0.743,4470,4738,5046
0.744,4239,4446,4667
0.745,5493,3056,3082
0.746,4564,3947,3661
0.747,2628,3218,2909
0.748,8294,4214,5298
0.749,4344,4332,4507
0.75,4070,4469,4357
0.751,4030,4228,4198
0.752,3777,3939,4242
0.753,4014,4210,5654
0.754,4565,5301,4610
0.755,4743,4570,4861
0.756,5817,4633,4445
0.757,8172,5316,5614
0.758,6861,5631,5463
0.759,4210,4271,4184
0.76,4019,4037,4236
0.761,3331,3599,3994
0.762,4131,4603,4621
0.763,4273,4847,4588
0.764,3951,4204,4735
0.765,4414,5226,5071
0.766,4167,4642,6724
0.767,5530,4591,4361
0.768,3882,5337,4119
0.769,6641,4824,5817
0.77,6489,6682,4738
0.771,4014,3922,4667
0.772,4879,3866,3877
0.773,6631,4727,5906
0.774,4043,4616,4340
0.775,4045,4337,4372
0.776,4044,4156,4605
0.777,3727,3856,1196
0.778,4408,5241,4457
0.779,4512,4444,4662
0.78,4236,4530,4648
0.781,4206,4530,4654
0.782,3830,1090,4164
0.783,4528,4570,5047
0.784,4217,4698,4753
0.785,4216,4698,5067
0.786,4298,4778,4697
0.787,3937,4744,4179
0.788,4517,3577,3608
0.789,3637,4314,3916
0.79,3967,4255,4666
0.791,2985,3583,3102
0.792,3313,3584,3274
0.793,3846,4155,5238
0.794,3370,3580,3817
0.795,4179,4359,4447
0.796,3344,3761,3576
0.797,4873,5330,5141
0.798,7252,4713,4578
0.799,3808,4188,4123
0.8,3934,4288,4407
0.801,5062,5020,4738
0.802,6135,4431,4851
0.803,3202,3264,3323
0.804,3220,3556,3631
0.805,3192,3394,5140
0.806,4142,4617,4542
0.807,4198,4583,4665
0.808,4044,4607,4476
0.809,4019,4867,4415
0.81,4824,4774,4868
0.811,8025,4788,5536
0.812,3745,3988,4192
0.813,4856,5164,4764
0.814,4954,6747,5310
0.815,3929,3806,3967
0.816,4023,4084,4755
0.817,5374,4234,5990
0.818,3894,4455,6343
0.819,3639,4592,4048
0.82,3466,3549,3675
0.821,4543,4191,4753
0.822,2860,3264,3307
0.823,2754,3077,3050
0.824,2853,2992,3114
0.825,4063,5389,4789
0.826,4265,5310,4808
0.827,4630,4913,5581
0.828,4920,5437,5278
0.829,4606,5210,4875
0.83,6912,8835,5926
0.831,9960,6086,7923
0.832,4350,4627,8732
0.833,6605,3094,4766
0.834,5580,4935,5890
0.835,8665,6534,7594
0.836,3743,4415,4481
0.837,4300,4621,4619
0.838,5397,9038,6726
0.839,4608,5183,5715
0.84,4329,4776,4890
0.841,4279,4613,4717
0.842,4236,4528,5829
0.843,4156,7470,5210
0.844,4781,6601,4580
0.845,4025,7470,8867
0.846,4139,4510,4467
0.847,4510,5680,4708
0.848,7838,6149,7915
0.849,8040,5588,6274
0.85,7436,5011,5209
0.851,4519,4618,4349
0.852,3950,4170,4526
0.853,4188,6334,6486
0.854,4122,4995,4358
0.855,4056,4624,4201
0.856,2624,2896,2944
0.857,3968,4330,4397
0.858,4084,4400,4354
0.859,4400,6078,4930
0.86,4546,4426,4744
0.861,4005,4870,4833
0.862,4077,4251,4775
0.863,4912,4666,4706
0.864,4378,4549,4586
0.865,4259,4676,4746
0.866,4927,4378,4199
0.867,3729,3957,4000
0.868,4074,4224,4020
0.869,5878,4384,4707
0.87,5227,5308,4984
0.871,6282,9139,6350
0.872,4657,4616,5714
0.873,3984,4377,5081
0.874,8193,5725,6967
0.875,3936,4350,4392
0.876,3287,3597,3563
0.877,2771,3015,3019
0.878,6726,5501,4576
0.879,4764,5613,5385
0.88,3942,4298,4134
0.881,3548,4742,5118
0.882,4142,4670,4686
0.883,4331,6970,4824
0.884,3597,5155,3775
0.885,4840,4268,4227
0.886,3331,5138,3701
0.887,3644,4060,4092
0.888,4150,6619,6472
0.889,3569,3871,4012
0.89,4538,3935,4282
0.891,6552,4477,4369
0.892,3439,3663,3744
0.893,4368,4353,4392
0.894,3591,5228,3916
0.895,7012,8138,6306
0.896,6569,8484,5589
0.897,3933,4371,4358
0.898,2902,3176,3202
0.899,3106,3475,3417
0.9,4329,5473,5078
0.901,4154,4342,5442
0.902,4744,4949,5118
0.903,3808,4181,4423
0.904,5176,4183,4096
0.905,4763,5093,5350
0.906,4140,4660,4476
0.907,3958,5950,4484
0.908,5442,4989,4931
0.909,5087,5147,4938
0.91,4244,4483,4507
0.911,4043,4707,4746
0.912,4680,5388,5308
0.913,4151,4861,4729
0.914,3588,4318,4016
0.915,3999,4586,4218
0.916,6588,7077,6702
0.917,4794,5708,5047
0.918,4306,4819,4721
0.919,5673,4509,4542
0.92,8493,6941,7352
0.921,5064,5391,5781
0.922,3964,4439,7839
0.923,7575,7241,4893
0.924,5102,8182,6805
0.925,4614,5653,5216
0.926,4984,9998,5118
0.927,4190,4982,4430
0.928,4239,5245,5715
0.929,4122,4531,6073
0.93,5039,5786,4665
0.931,8380,6011,8311
0.932,4077,5121,4552
0.933,3537,4786,3606
0.934,4551,8055,5368
0.935,5389,8446,5952
0.936,2813,3642,3164
0.937,4827,5580,5043
0.938,4412,5316,4766
0.939,3675,4724,4214
0.94,5471,4587,4050
0.941,4299,5605,5014
0.942,4328,5851,4865
0.943,4107,5213,4597
0.944,5524,5352,4904
0.945,3548,4530,4438
0.946,3023,3912,3610
0.947,3354,4207,3783
0.948,5431,4308,3517
0.949,4399,5772,4544
0.95,3508,4710,5087
0.951,3875,4808,4574
0.952,4822,4998,4724
0.953,4352,5051,6608
0.954,3285,4215,4506
0.955,3634,4852,4387
0.956,5479,5834,5387
0.957,4505,6196,6448
0.958,2341,3168,2847
0.959,4444,4836,4796
0.96,4409,6397,5496
0.961,3994,5366,4762
0.962,3353,4696,4321
0.963,5233,4990,4793
0.964,5492,6575,6813
0.965,4061,5633,6069
0.966,3903,5221,4548
0.967,8627,4658,4559
0.968,4380,6168,4759
0.969,5425,7437,5808
0.97,3732,5121,4853
0.971,7998,6109,7998
0.972,3937,5661,4916
0.973,3345,4989,4114
0.974,7220,4343,8797
0.975,6964,6487,1102
0.976,4334,1124,6422
0.977,3391,6122,5196
0.978,4556,10625,5173
0.979,8303,9626,7588
