Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0.332,86,78,125
0.333,71,70,86
0.334,79,75,77
0.335,80,76,77
0.336,81,77,79
0.337,92,84,84
0.338,77,73,66
0.339,67,61,62
0.34,61,59,58
0.341,72,69,68
0.342,64,61,61
0.343,68,60,59
0.344,82,80,91
0.345,70,68,67
0.346,87,68,71
0.347,79,77,96
0.348,82,79,79
0.349,99,105,81
0.35,96,78,78
0.351,83,79,79
0.352,82,90,80
0.353,77,111,75
0.354,85,71,73
0.355,76,67,69
0.356,65,65,65
0.357,81,107,78
0.358,112,80,80
0.359,80,77,80
0.36,86,83,89
0.361,83,79,100
0.362,83,86,80
0.363,81,77,80
0.364,90,81,82
0.365,84,78,80
0.366,83,81,80
0.367,82,79,80
0.368,84,86,82
0.369,89,122,88
0.37,82,79,97
0.371,82,98,80
0.372,120,79,79
0.373,79,84,80
0.374,81,78,79
0.375,88,79,82
0.376,84,132,82
0.377,101,88,84
0.378,101,83,85
0.379,94,111,83
0.38,84,79,82
0.381,99,79,79
0.382,82,78,80
0.383,83,80,80
0.384,79,76,77
0.385,74,72,73
0.386,77,74,75
0.387,82,79,81
0.388,84,83,84
0.389,79,77,77
0.39,81,77,79
0.391,69,67,68
0.392,82,81,81
0.393,83,79,80
0.394,75,77,73
0.395,85,82,84
0.396,85,89,83
0.397,85,83,84
0.398,84,81,82
0.399,84,82,83
0.4,107,101,89
0.401,85,90,84
0.402,89,138,104
0.403,114,85,90
0.404,113,82,84
0.405,133,84,87
0.406,88,116,94
0.407,116,85,86
0.408,87,86,88
0.409,88,116,116
0.41,87,84,86
0.411,88,86,90
0.412,114,83,89
0.413,87,85,99
0.414,93,155,92
0.415,87,101,87
0.416,89,87,90
0.417,89,86,88
0.418,89,128,110
0.419,92,85,86
0.42,125,107,109
0.421,90,81,82
0.422,89,82,86
0.423,103,84,92
0.424,87,83,86
0.425,86,86,86
0.426,78,77,78
0.427,90,86,88
0.428,85,84,86
0.429,91,82,83
0.43,88,85,86
0.431,82,81,81
0.432,84,86,83
0.433,85,120,85
0.434,86,85,92
0.435,88,85,86
0.436,86,82,85
0.437,88,85,88
0.438,88,85,87
0.439,88,87,88
0.44,86,85,87
0.441,84,82,84
0.442,80,78,79
0.443,90,99,92
0.444,77,76,77
0.445,80,85,81
0.446,88,87,90
0.447,97,89,92
0.448,86,83,85
0.449,87,80,94
0.45,78,77,81
0.451,83,83,107
0.452,83,81,83
0.453,84,83,86
0.454,82,82,87
0.455,63,63,65
0.456,80,96,82
0.457,83,85,96
0.458,87,83,87
0.459,83,83,89
0.46,83,83,83
0.461,81,88,83
0.462,81,81,83
0.463,83,82,90
0.464,84,85,84
0.465,79,79,80
0.466,82,81,81
0.467,78,79,79
0.468,77,78,80
0.469,128,87,87
0.47,85,91,86
0.471,99,86,87
0.472,85,86,86
0.473,108,87,87
0.474,89,88,88
0.475,79,80,82
0.476,79,80,80
0.477,86,87,87
0.478,77,78,79
0.479,89,89,89
0.48,87,87,114
0.481,85,86,87
0.482,82,83,83
0.483,87,79,80
0.484,86,92,87
0.485,86,87,85
0.486,86,87,88
0.487,110,91,107
0.488,85,85,87
0.489,88,89,90
0.49,88,87,89
0.491,86,87,87
0.492,84,85,85
0.493,80,83,87
0.494,70,72,72
0.495,73,77,76
0.496,90,92,92
0.497,86,95,89
0.498,78,82,83
0.499,87,84,85
0.5,86,71,69
0.501,75,75,88
0.502,93,80,78
0.503,88,85,100
0.504,77,80,81
0.505,75,78,76
0.506,74,77,77
0.507,87,95,90
0.508,74,78,76
0.509,85,92,86
0.51,84,86,87
0.511,85,129,88
0.512,87,88,89
0.513,86,88,88
0.514,86,88,93
0.515,88,90,90
0.516,186,115,118
0.517,99,96,96
0.518,124,96,96
0.519,121,93,93
0.52,92,122,95
0.521,91,93,93
0.522,91,92,94
0.523,121,123,98
0.524,91,94,151
0.525,113,98,106
0.526,92,95,113
0.527,126,234,115
0.528,80,87,82
0.529,94,95,94
0.53,84,93,85
0.531,128,101,97
0.532,93,95,97
0.533,99,100,106
0.534,95,100,146
0.535,93,97,95
0.536,93,96,102
0.537,93,94,135
0.538,92,93,100
0.539,116,96,97
0.54,210,95,95
0.541,95,94,92
0.542,99,97,94
0.543,93,97,95
0.544,121,101,95
0.545,94,99,98
0.546,123,97,99
0.547,125,100,160
0.548,93,97,115
0.549,93,96,97
0.55,90,96,93
0.551,91,99,135
0.552,92,102,97
0.553,90,95,110
0.554,94,95,101
0.555,91,95,95
0.556,105,98,118
0.557,94,96,136
0.558,91,113,94
0.559,89,96,94
0.56,91,95,112
0.561,92,100,94
0.562,92,96,98
0.563,95,98,97
0.564,91,96,123
0.565,109,99,96
0.566,92,103,98
0.567,116,118,96
0.568,93,99,98
0.569,93,98,96
0.57,124,100,97
0.571,100,99,101
0.572,90,95,95
0.573,91,84,82
0.574,86,99,93
0.575,88,95,94
0.576,115,97,96
0.577,83,91,90
0.578,79,105,91
0.579,77,86,84
0.58,90,96,100
0.581,92,104,97
0.582,84,89,87
0.583,94,86,83
0.584,86,92,89
0.585,93,99,98
0.586,91,102,95
0.587,87,94,92
0.588,135,122,97
0.589,81,93,88
0.59,70,81,78
0.591,71,81,84
0.592,69,77,77
0.593,68,78,76
0.594,69,80,77
0.595,72,82,80
0.596,150,126,130
0.597,108,106,104
0.598,98,102,101
0.599,93,102,100
0.6,99,102,445
0.601,128,121,102
0.602,94,100,98
0.603,101,99,115
0.604,96,131,100
0.605,121,102,99
0.606,97,99,98
0.607,90,118,111
0.608,85,93,93
0.609,97,97,96
0.61,95,104,121
0.611,99,104,108
0.612,92,99,99
0.613,95,102,100
0.614,91,135,120
0.615,92,102,101
0.616,108,100,99
0.617,95,111,102
0.618,92,99,99
0.619,99,103,103
0.62,95,105,109
0.621,95,105,102
0.622,92,101,109
0.623,81,92,89
0.624,91,106,99
0.625,94,105,111
0.626,95,106,104
0.627,88,91,90
0.628,89,100,99
0.629,99,139,105
0.63,94,103,100
0.631,97,105,135
0.632,94,105,111
0.633,95,104,103
0.634,96,128,105
0.635,95,109,107
0.636,78,90,87
0.637,84,95,94
0.638,74,87,89
0.639,78,91,89
0.64,86,99,130
0.641,110,112,102
0.642,92,104,102
0.643,90,108,101
0.644,86,98,96
0.645,88,99,99
0.646,96,94,93
0.647,116,94,93
0.648,108,96,97
0.649,92,102,103
0.65,90,102,100
0.651,85,99,100
0.652,92,157,102
0.653,74,91,87
0.654,87,100,97
0.655,98,108,106
0.656,93,104,103
0.657,93,107,103
0.658,91,103,104
0.659,93,110,148
0.66,93,107,106
0.661,93,113,123
0.662,90,111,104
0.663,89,103,101
0.664,103,108,106
0.665,93,105,103
0.666,85,101,95
0.667,92,104,103
0.668,157,128,123
0.669,110,112,158
0.67,100,109,110
0.671,97,108,106
0.672,95,245,106
0.673,113,148,526
0.674,94,110,109
0.675,140,100,97
0.676,97,116,108
0.677,98,149,111
0.678,95,115,108
0.679,96,133,110
0.68,115,166,156
0.681,96,116,127
0.682,94,114,108
0.683,102,118,112
0.684,99,127,174
0.685,94,148,124
0.686,93,115,109
0.687,96,112,122
0.688,95,115,108
0.689,94,113,107
0.69,171,119,128
0.691,139,116,110
0.692,91,109,101
0.693,95,132,110
0.694,97,119,111
0.695,99,122,167
0.696,101,116,110
0.697,94,118,112
0.698,95,116,111
0.699,126,116,111
0.7,96,117,110
0.701,114,117,114
0.702,99,129,113
0.703,88,116,103
0.704,96,119,112
0.705,92,119,108
0.706,82,119,124
0.707,85,103,99
0.708,73,100,90
0.709,96,153,126
0.71,86,111,102
0.711,126,119,108
0.712,125,126,183
0.713,76,99,94
0.714,83,116,120
0.715,79,103,95
0.716,107,111,101
0.717,95,125,110
0.718,98,131,116
0.719,107,133,185
0.72,93,119,110
0.721,100,105,100
0.722,78,106,97
0.723,123,127,114
0.724,96,121,127
0.725,117,122,113
0.726,96,122,115
0.727,105,116,106
0.728,72,99,92
0.729,84,106,99
0.73,104,114,105
0.731,90,112,105
0.732,93,125,111
0.733,84,113,103
0.734,91,111,102
0.735,88,115,108
0.736,73,103,94
0.737,107,109,97
0.738,82,108,100
0.739,80,102,98
0.74,80,106,94
0.741,72,103,94
0.742,68,101,94
0.743,92,200,127
0.744,151,133,118
0.745,125,129,117
0.746,101,122,115
0.747,93,124,115
0.748,94,121,119
0.749,122,129,150
0.75,116,125,115
0.751,93,124,113
0.752,97,144,132
0.753,97,196,121
0.754,97,130,117
0.755,96,133,133
0.756,94,177,120
0.757,116,130,123
0.758,95,130,116
0.759,93,126,124
0.76,102,169,146
0.761,94,130,119
0.762,97,154,121
0.763,91,135,113
0.764,96,129,122
0.765,96,148,152
0.766,102,135,137
0.767,96,143,120
0.768,97,134,121
0.769,94,132,117
0.77,94,149,119
0.771,95,150,126
0.772,95,147,123
0.773,97,136,120
0.774,97,143,122
0.775,98,135,129
0.776,113,135,181
0.777,100,143,127
0.778,98,145,125
0.779,96,141,121
0.78,96,139,124
0.781,102,147,154
0.782,92,135,123
0.783,95,138,121
0.784,96,138,179
0.785,88,151,117
0.786,80,122,115
0.787,93,135,133
0.788,100,146,129
0.789,101,147,155
0.79,100,159,131
0.791,103,151,133
0.792,100,144,130
0.793,89,134,118
0.794,117,151,132
0.795,97,143,144
0.796,101,148,133
0.797,97,142,137
0.798,89,131,117
0.799,71,121,104
0.8,70,118,106
0.801,80,129,113
0.802,89,134,121
0.803,98,139,137
0.804,89,134,131
0.805,76,125,112
0.806,73,124,112
0.807,77,131,112
0.808,76,122,112
0.809,94,139,125
0.81,156,149,153
0.811,101,149,152
0.812,95,141,132
0.813,92,145,132
0.814,104,220,136
0.815,95,146,134
0.816,93,146,135
0.817,94,145,185
0.818,96,181,136
0.819,94,152,137
0.82,95,149,135
0.821,94,148,136
0.822,92,168,136
0.823,92,152,139
0.824,176,152,136
0.825,93,151,141
0.826,93,151,137
0.827,94,171,147
0.828,93,151,142
0.829,102,156,158
0.83,93,153,138
0.831,94,153,142
0.832,94,155,141
0.833,93,158,161
0.834,100,161,144
0.835,95,160,138
0.836,92,159,142
0.837,92,159,164
0.838,100,160,145
0.839,94,170,161
0.84,92,160,154
0.841,93,159,163
0.842,94,183,145
0.843,144,167,149
0.844,100,167,146
0.845,94,169,145
0.846,98,159,166
0.847,94,166,152
0.848,95,192,165
0.849,94,161,146
0.85,106,162,147
0.851,117,206,153
0.852,95,178,157
0.853,94,173,151
0.854,101,173,156
0.855,94,175,151
0.856,95,174,154
0.857,95,176,175
0.858,95,180,156
0.859,97,180,158
0.86,94,184,157
0.861,92,174,153
0.862,162,235,230
0.863,108,186,171
0.864,102,171,168
0.865,96,205,170
0.866,97,181,160
0.867,105,173,160
0.868,105,207,172
0.869,93,175,166
0.87,96,182,168
0.871,94,178,172
0.872,95,175,169
0.873,99,176,178
0.874,97,249,190
0.875,96,178,170
0.876,95,188,183
0.877,104,183,173
0.878,96,179,178
0.879,95,182,179
0.88,95,176,173
0.881,93,186,169
0.882,117,178,178
0.883,95,184,179
0.884,101,184,177
0.885,95,183,188
0.886,122,229,182
0.887,97,228,187
0.888,96,189,223
0.889,99,197,192
0.89,97,198,188
0.891,100,202,302
0.892,96,193,195
0.893,97,203,222
0.894,118,195,201
0.895,96,233,204
0.896,95,234,238
0.897,123,198,201
0.898,96,209,199
0.899,96,278,205
0.9,103,235,229
0.901,101,213,239
0.902,98,202,211
0.903,86,210,189
0.904,97,217,206
0.905,101,230,221
0.906,103,236,240
0.907,112,248,278
0.908,105,263,233
0.909,88,214,210
0.91,234,278,242
0.911,95,227,217
0.912,96,224,226
0.913,104,249,246
0.914,110,329,250
0.915,110,257,249
0.916,103,277,244
0.917,104,280,243
0.918,105,251,243
0.919,102,272,259
0.92,100,300,253
0.921,98,298,251
0.922,110,317,251
0.923,122,310,291
0.924,105,333,270
0.925,102,376,324
0.926,93,323,260
0.927,89,342,252
0.928,95,357,273
0.929,107,353,294
0.93,101,386,307
0.931,95,336,297
0.932,117,513,353
0.933,110,545,319
0.934,104,553,344
0.935,99,494,367
0.936,99,518,336
0.937,96,516,356
0.938,111,568,385
0.939,104,601,408
0.94,94,521,354
0.941,164,603,560
0.942,123,725,424
0.943,107,620,409
0.944,93,642,403
0.945,79,525,349
0.946,88,617,390
0.947,96,554,377
0.948,91,604,479
0.949,115,713,462
0.95,113,733,512
0.951,116,740,478
0.952,196,778,567
0.953,146,866,688
0.954,126,845,731
0.955,123,821,620
0.956,125,755,550
0.957,229,750,549
0.958,118,724,509
0.959,228,750,541
0.96,171,787,538
0.961,127,830,543
0.962,173,994,957
0.963,118,999,801
0.964,168,1615,720
0.965,123,1565,1348
0.966,206,1251,1393
0.967,163,1573,3666
0.968,139,703,642
0.969,101,727,614
0.97,94,768,630
0.971,107,831,744
0.972,117,755,760
0.973,139,1296,674
0.974,112,1274,773
0.975,146,1438,875
